Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags
2023-10-16,Lowe's,Home Improvement,Alaska Airlines Visa Signature,Lowe's Home Improvement,,-26.39,
2023-10-16,Brown Bear,Parking & Car Wash,Alaska Airlines Visa Signature,BROWN BEAR AURORA,,-24,
2023-10-15,Target,Groceries,Alaska Airlines Visa Signature,Target,,-89.61,
2023-07-07,Ulta Beauty,Personal,Alaska Airlines Visa Signature,ULTA,,-66.15,
2023-07-07,Trader Joe's,Groceries,Alaska Airlines Visa Signature,Trader Joe's,,-9.47,
2023-07-07,Target,Groceries,Alaska Airlines Visa Signature,Target,,-26.47,
2023-07-07,Mud Bay Pet Supplies,Moomoo misc,Alaska Airlines Visa Signature,MUD BAY SHORELINE,,-17.63,
2023-07-07,ARCO,Gas,Alaska Airlines Visa Signature,ARCO#00980MERCED MARKET,,-33.58,
2023-06-27,Dick S Drive in Broadw,Restaurants,Alaska Airlines Visa Signature,DICK'S DRIVE IN BROADWAY,,-18.74,
2023-06-23,PCC Natural Markets,Groceries,Alaska Airlines Visa Signature,PCC - VIEW RIDGE,,-67.96,
2023-06-23,Metropolitan Market,Groceries,Alaska Airlines Visa Signature,METROPOLITAN MKT 15,,-69.99,
2023-06-19,Copper Tree Cafe,Restaurants,Alaska Airlines Visa Signature,COPPER TREE CAFE,,-5,
2023-06-17,Mighty O Donuts,Restaurants,Alaska Airlines Visa Signature,MIGHTY-O DONUTS - CAPSeattle,,-9,
2023-06-17,Ian S Pizza on the,Restaurants,Alaska Airlines Visa Signature,IAN'S PIZZA ON THE HISeattle,,-31.5,
2023-06-13,Fob Poke Bar,Restaurants,Alaska Airlines Visa Signature,FOB POKE BAR,,-18.5,
2023-06-12,Optimism Brewing,Restaurants,Alaska Airlines Visa Signature,OPTIMISM BREWING COMPSeattle,,-2.5,
2023-06-10,76 Fuel,Gas,Alaska Airlines Visa Signature,76 - UNITED PACIFIC 5927,,-22.59,
